Generic-IO 1048576-2 1 16 95.2636 0.399309 39887412 
Generic-IO 1048576-2 0 16 624.126 0.0609021 39857004 
Generic-IO 1048576-2 1 32 205.436 0.185287 39913740 
Generic-IO 1048576-2 0 32 640.577 0.05934 39858316 
Generic-IO 1024-2 1 2 1.85672 0.023586 45920 
Generic-IO 1024-2 1 2 0.932769 0.0469491 45920 
Generic-IO 1024-2 1 2 0.852532 0.048352 43224 
Generic-IO 1024-2 1 2 0.877961 0.04988 45920 
Generic-IO 1024-2 1 2 1.00226 0.043694 45920 
Generic-IO 1024-2 1 2 0.714422 0.0612981 45920 
Generic-IO 1024-2 1 2 0.574427 0.0762372 45920 
Generic-IO 1024-2 1 2 0.566105 0.077358 45920 
Generic-IO 1024-2 1 8 0.335557 0.182597 64248 
Generic-IO 1024-2 1 8 0.4111 0.142789 61552 
Generic-IO 1024-2 1 8 0.426683 0.1436 64248 
Generic-IO 1024-2 1 8 0.0927878 0.660342 64248 
Generic-IO 1024-2 Generic-IO 1024-2 Generic-IO 1024-2 1 8 0.0808618 0.725937 61552 
Generic-IO 1024-2 Generic-IO 1024-2 1 8 0.248724 0.236007 61552 
Generic-IO 1024-2 1 8 0.127492 0.44026 58856 
Generic-IO 1024-2 1 8 0.238169 0.246466 61552 
Generic-IO 1024-2 1 8 0.511343 0.119825 64248 
Generic-IO 1024-2 1 8 0.341942 0.164149 58856 
Generic-IO 1024-2 1 2 1.01396 0.04319 45920 
Generic-IO 1024-2 1 8 0.686364 0.0892699 64248 
Generic-IO 1024-2 1 2 0.815218 0.053719 45920 
Generic-IO 1024-2 1 2 0.703507 0.0622492 45920 
Generic-IO 1024-2 1 2 0.76455 0.0572791 45920 
Generic-IO 1024-2 1 2 0.623606 0.070225 45920 
Generic-IO 1024-2 1 2 0.667592 0.065598 45920 
Generic-IO 1024-2 Generic-IO 1024-2 1 2 0.785236 0.0557702 45920 
Generic-IO 1024-2 1 2 0.399458 0.103194 43224 
Generic-IO 1024-2 1 2 0.716878 0.0610881 45920 
Generic-IO 1024-2 1 2 0.86482 0.050638 45920 
Generic-IO 1024-2 1 2 0.82305 0.0532079 45920 
Generic-IO 1024-2 1 2 0.840068 0.05213 45920 
Generic-IO 1024-2 1 8 0.99241 0.0643311 66944 
Generic-IO 1024-2 1 8 0.320866 0.182944 61552 
Generic-IO 1024-2 1 8 0.451536 0.135696 64248 
Generic-IO 1024-2 Generic-IO 1024-2 1 2 0.215153 0.203542 45920 
Generic-IO 1024-2 1 2 0.390375 0.112181 45920 
Generic-IO 1024-2 0 2 0.76753 0.0537069 43224 
Generic-IO 1024-2 0 2 0.382827 0.114393 45920 
Generic-IO 1024-2 0 2 4.55127 0.0096221 45920 
Generic-IO 1024-2 0 2 5.8156 0.00753021 45920 
Generic-IO 1024-2 0 2 0.258139 0.169648 45920 
Generic-IO 1024-2 0 2 5.11529 0.00856113 45920 
Generic-IO 1024-2 0 2 5.22219 0.0083859 45920 
Generic-IO 1024-2 0 2 5.40983 0.00809503 45920 Generic-IO 1024-2 0 2 4.84964 0.0090301 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 5.2534 0.00833607 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 5.18562 0.00844502 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 1 2 5.1751 0.00846219 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 0.131026 0.334229 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 Generic-IO 1024-2 0 2 0.133216 0.328734 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 Generic-IO 1024-2 0 2 7.75686 0.0052011 42304 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 12.3868 0.00325704 42304 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 1 2 3.22999 0.0135581 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 Generic-IO 1024-2 0 2 0.373528 0.117241 45920 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 2.70293 0.016202 45920 ['4.12021'] ['0.00920296'] ['39760'] 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.53778 0.0284779 45920 1.22867 0.0308611 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 0.0563508 0.777144 45920 4.60785 0.00822902 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 0.527795 0.082973 45920 6.11175 0.00620413 39760 15794176 6 disable disable disable disable 292552704 Generic-IO 1024-2 0 2 0.55331 0.0791469 45920 11.7572 0.00322509 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.26109 0.0347261 45920 10.101 0.0037539 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.55019 0.02825 45920 6.76392 0.00560594 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.55619 0.028141 45920 6.31211 0.00600719 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.57885 0.0277371 45920 2.52116 0.0150399 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 0.816055 0.053664 45920 12.0139 0.00315619 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.94661 0.0224969 45920 5.75377 0.00659013 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 3.31612 0.013206 45920 3.9184 0.00967693 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 1.83632 0.0238481 45920 13.8236 0.00274301 39760 15794176 6 disable disable disable disable 292552704 
Generic-IO 1024-2 0 2 2.60343 0.0168211 45920 7.47614 0.00507188 39760 12517376 19 disable disable enable enable 158334976 
Generic-IO 1024-2 0 2 1.86591 0.0234699 45920 15.1136 0.00250888 39760 23527424 12 enable enable enable enable 6291456 
Generic-IO 1024-2 0 2 1.11988 0.0391049 45920 7.5072 0.0050509 39760 11534336 15 disable enable enable enable 394264576 
